"","Project","Sample_ID","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes"
"23","GX2","               179_GX2_50061",4.64213038053649,"Within_Range","SO4 checks perc diff out of range",32.3898476727786,"Within_Range","",2.0748597207,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"24","GX2","               180_GX2_50225",10.6642077354959,"Within_Range","SO4 checks perc diff out of range",68.5346093088857,"Within_Range","",4.3902262833,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"25","GX2","               181_GX2_50053",18.0037398627573,"Within_Range","SO4 checks perc diff out of range",91.9737179125529,"Within_Range","",5.8916922181,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"26","GX2","               182_GX2_50227",28.9613443543356,"Within_Range","SO4 checks perc diff out of range",220.928031029619,"Within_Range","",14.1522669509,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"27","GX2","               183_GX2_50173",13.8644167186525,"Within_Range","SO4 checks perc diff out of range",91.6589873060649,"Within_Range","",5.8715311577,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"28","GX2","               184_GX2_50077",24.021066749844,"Within_Range","SO4 checks perc diff out of range",126.890569816643,"Within_Range","",8.1284011549,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"29","GX2","               185_GX2_50143",1.16729257641921,"Within_Range","SO4 checks perc diff out of range",65.9347926657264,"Within_Range","",4.2236868388,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"30","GX2","               186_GX2_50131",23.3941110417966,"Within_Range","SO4 checks perc diff out of range",157.673038081805,"Within_Range","",10.1002691244,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"31","GX2","               187_GX2_50122",10.9645913911416,"Within_Range","SO4 checks perc diff out of range",99.9408490832158,"Within_Range","",6.4020519017,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"32","GX2","               188_GX2_50064",19.6810948222084,"Within_Range","SO4 checks perc diff out of range",113.510730606488,"Within_Range","",7.2713134078,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"33","GX2","               189_GX2_50170",18.2759014348097,"Within_Range","SO4 checks perc diff out of range",165.283153737659,"Within_Range","",10.5877590546,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"34","GX2","               190_GX2_50079",21.6703493449782,"Within_Range","SO4 checks perc diff out of range",112.981771509168,"Within_Range","",7.2374292666,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"35","GX2","               191_GX2_50007",8.44644416718653,"Within_Range","SO4 checks perc diff out of range",60.1015035260931,"Within_Range","",3.8500171281,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
